,zipcode,city,state,median_listing_price
0,01001,Agawam, MA,201225.0
1,01002,Amherst, MA,454050.0
2,01005,Barre, MA,243225.0
3,01007,Belchertown, MA,333775.0
4,01008,Blandford, MA,223725.0
5,01010,Brimfield, MA,352025.0
6,01013,Chicopee, MA,172250.0
7,01020,Chicopee, MA,169078.25
8,01022,Chicopee, MA,129950.0
9,01027,Easthampton, MA,299950.0
10,,East Longmeadow, MA,269500.0
11,,Feeding Hills, MA,289950.0
12,,Granby, MA,308700.0
13,,Granville, MA,399950.0
14,,Hadley, MA,444975.0
15,,Hampden, MA,272250.0
16,,Holyoke, MA,184975.0
17,,Huntington, MA,226300.0
18,,Ludlow, MA,272450.0
19,,Monson, MA,263525.0
20,,Northampton, MA,359950.0
21,,Florence, MA,321425.0
22,,Palmer, MA,220000.0
23,,Southampton, MA,339650.0
24,,South Hadley, MA,257650.0
25,,Southwick, MA,325050.0
26,,Ware, MA,232500.0
27,,Westfield, MA,288250.0
28,,West Springfield, MA,257950.0
29,,Wilbraham, MA,286524.75
30,,Worthington, MA,247225.0
31,,Springfield, MA,159997.5
32,,Longmeadow, MA,352550.0
33,,Springfield, MA,145025.0
34,,Springfield, MA,136225.0
35,,Springfield, MA,169125.0
36,,Springfield, MA,169600.0
37,,Springfield, MA,185550.0
38,,Indian Orchard, MA,164550.0
39,,Pittsfield, MA,194750.0
40,,Adams, MA,134950.0
41,,Becket, MA,299275.0
42,,Dalton, MA,315500.0
43,,Great Barrington, MA,625050.0
44,,Hinsdale, MA,283500.0
45,,Lanesborough, MA,270774.75
46,,Lee, MA,287000.0
47,,Lenox, MA,535175.0
48,,Monterey, MA,549050.0
49,,North Adams, MA,92550.0
50,,Otis, MA,327050.0
51,,Richmond, MA,641550.0
52,,Sandisfield, MA,336550.0
53,,Sheffield, MA,425050.0
54,,South Egremont, MA,654050.0
55,,Stockbridge, MA,575050.0
56,,West Stockbridge, MA,658800.0
57,,Williamstown, MA,569300.0
58,,Greenfield, MA,200025.0
59,,Athol, MA,178700.0
60,,Northfield, MA,332475.0
61,,Orange, MA,167000.0
62,,South Deerfield, MA,345050.0
63,,Fitchburg, MA,224750.0
64,,Ashburnham, MA,272677.5
65,,Ashby, MA,286200.0
66,,Ayer, MA,432550.0
67,,Gardner, MA,225800.0
68,,Groton, MA,529950.0
69,,Harvard, MA,749050.0
70,,Hubbardston, MA,351275.0
71,,Leominster, MA,262475.0
72,,Littleton, MA,595550.0
73,,Lunenburg, MA,351775.0
74,,Pepperell, MA,442450.0
75,,Shirley, MA,399500.0
76,,Templeton, MA,230050.0
77,,Townsend, MA,324950.0
78,,Westminster, MA,447500.0
79,,Winchendon, MA,227000.0
80,,Auburn, MA,282450.0
81,,Blackstone, MA,338475.0
82,,Boylston, MA,745050.0
83,,Brookfield, MA,230050.0
84,,Charlton, MA,306272.0
85,,Clinton, MA,286050.0
86,,Douglas, MA,409950.0
87,,Fiskdale, MA,335550.0
88,,Grafton, MA,478775.0
89,,Holden, MA,416040.0
90,,Holland, MA,270750.0
91,,Lancaster, MA,477225.0
92,,Leicester, MA,289285.0
93,,Millbury, MA,324950.0
94,,Millville, MA,259050.0
