,zipcode,city,state,median_listing_price
0,07458, Saddle River ,NJ ,9999999
1,07003, BLOOMFIELD ,NJ ,439900
2,07436, OAKLAND ,NJ ,450000
3,08736, Manasquan ,NJ ,585000
4,07401, Allendale ,NJ ,999900
5,08817, Edison ,NJ ,240000
6,07620, Alpine ,NJ ,6699000
7,07016, CRANFORD ,NJ ,509000
8,07013, CLIFTON ,NJ ,280000
9,07922, Berkeley Heights ,NJ ,699000
10,07470, Wayne ,NJ ,494000
11,07083, Union ,NJ ,315000
12,07762, SPRING LAKE ,NJ ,12900000
13,07004, FAIRFIELD ,NJ ,429000
14,07726, MANALAPAN ,NJ ,700000
15,07731, Howell ,NJ ,199500
16,07869, RANDOLPH ,NJ ,349000
17,08742, POINT PLEASANT BORO ,NJ ,425000
18,07054, PARSIPPANY ,NJ ,159500
19,07470, WAYNE ,NJ ,313500
20,07755, Oakhurst ,NJ ,525000
21,07017, EAST ORANGE ,NJ ,269900
22,07666, Teaneck ,NJ ,599000
23,07463, WALDWICK ,NJ ,345500
24,07620, ALPINE ,NJ ,18500000
25,37918, KNOXVILLE ,TN ,189900
26,37917, KNOXVILLE ,TN ,95000
27,37167, SMYRNA ,TN ,219900
28,37804, Maryville ,TN ,194900
29,38119, MEMPHIS ,TN ,465000
30,37209, Nashville ,TN ,214900
31,37343, HIXSON ,TN ,285000
32,37421, CHATTANOOGA ,TN ,195000
33,38016, Cordova ,TN ,179900
34,37918, KNOXVILLE ,TN ,170000
35,37411, CHATTANOOGA ,TN ,249900
36,37683, Mountain City ,TN ,215000
37,37064, Franklin ,TN ,310000
38,37013, ANTIOCH ,TN ,117900
39,37323, Cleveland ,TN ,59900
40,37221, NASHVILLE ,TN ,590000
41,38106, MEMPHIS ,TN ,11900
42,37075, HENDERSONVILLE ,TN ,234000
43,37166, Smithville ,TN ,99000
44,37215, NASHVILLE ,TN ,750000
45,37027, BRENTWOOD ,TN ,435000
46,38305, Jackson ,TN ,249900
47,37922, Knoxville ,TN ,415000
48,37027, Brentwood ,TN ,1975000
49,37172, Springfield ,TN ,380000
50,91436, Encino ,CA ,7495000
51,93953, Pebble Beach ,CA ,34900000
52,92126, San Diego ,CA ,249900
53,92705, SANTA ANA ,CA ,19900000
54,94608, EMERYVILLE ,CA ,699000
55,91302, Calabasas ,CA ,399000
56,91342, Sylmar ,CA ,245000
57,91361, Thousand Oaks ,CA ,29900000
58,91206, GLENDALE ,CA ,360000
59,95060, Santa Cruz ,CA ,198000
60,93953, Pebble Beach ,CA ,37000000
61,91302, CALABASAS ,CA ,4995000
62,95678, Roseville ,CA ,325000
63,92008, CARLSBAD ,CA ,29950000
64,90254, Hermosa Beach ,CA ,22000000
65,92124, SAN DIEGO ,CA ,530000
66,95838, SACRAMENTO ,CA ,182700
67,91606, North Hollywood ,CA ,579000
68,92111, San Diego ,CA ,175000
69,92626, COSTA MESA ,CA ,399900
70,95660, NORTH HIGHLANDS ,CA ,290000
71,95123, SAN JOSE ,CA ,749000
72,90277, REDONDO BEACH ,CA ,1199000
73,95020, Gilroy ,CA ,599888
74,93313, Bakersfield ,CA ,269900
75,84790, Saint George ,UT ,1750000
76,84043, Lehi ,UT ,419500
77,84092, SANDY ,UT ,455000
78,84047, Midvale ,UT ,289000
79,84043, Lehi ,UT ,1200000
80,84770, St George ,UT ,419000
81,84770, St George ,UT ,249000
82,84770, St George ,UT ,324900
83,84663, Springville ,UT ,299900
84,84020, Draper ,UT ,435000
85,84049, Midway ,UT ,350000
86,84088, WEST JORDAN ,UT ,325000
87,84107, Murray ,UT ,114900
88,84121, Cottonwood Heights ,UT ,625000
89,84088, WEST JORDAN ,UT ,275000
90,84084, WEST JORDAN ,UT ,224500
91,84010, BOUNTIFUL ,UT ,495000
92,84020, DRAPER ,UT ,999900
93,84088, West Jordan ,UT ,56900
94,84043, Lehi ,UT ,339900
95,84040, LAYTON ,UT ,309000
96,84060, Park City ,UT ,6250000
97,84790, St George ,UT ,247000
98,84660, Spanish Fork ,UT ,329900
99,84010, BOUNTIFUL ,UT ,309000
100,78754, Austin ,TX ,64900
101,77019, HOUSTON ,TX ,22000000
102,78245, SAN ANTONIO ,TX ,205000
103,75002, ALLEN ,TX ,199500
104,77047, HOUSTON ,TX ,184900
105,75034, FRISCO ,TX ,474900
106,75074, PLANO ,TX ,200000
107,76002, Arlington ,TX ,210000
108,78217, SAN ANTONIO ,TX ,149900
109,75077, LEWISVILLE ,TX ,420000
110,78240, SAN ANTONIO ,TX ,179999
111,77429, CYPRESS ,TX ,375000
112,75063, Irving ,TX ,209900
113,75022, FLOWER MOUND ,TX ,229000
114,77065, HOUSTON ,TX ,75000
115,75230, DALLAS ,TX ,1599000
116,75104, CEDAR HILL ,TX ,400000
117,77396, HUMBLE ,TX ,83600
118,77373, SPRING ,TX ,199000
119,78750, AUSTIN ,TX ,800000
120,76107, Fort Worth ,TX ,290000
121,79925, EL PASO ,TX ,114900
122,78244, San Antonio ,TX ,98000
123,78201, San Antonio ,TX ,123500
124,78725, AUSTIN ,TX ,174900
125,08807, BRIDGEWATER ,NJ ,542500
126,08753, Toms River ,NJ ,195000
127,07052, West Orange ,NJ ,299000
128,07078, Short Hills ,NJ ,995000
129,07410, Fair Lawn ,NJ ,404900
130,08012, Blackwood ,NJ ,120000
131,08080, SEWELL ,NJ ,289999
132,07042, Montclair ,NJ ,849000
133,07728, Freehold ,NJ ,318000
134,07011, CLIFTON ,NJ ,349900
135,07830, CALIFON ,NJ ,130000
136,08820, Edison ,NJ ,365000
137,07731, Howell ,NJ ,285000
138,07719, Belmar ,NJ ,565000
139,07203, ROSELLE ,NJ ,300000
140,08360, Vineland ,NJ ,34500
141,07081, SPRINGFIELD ,NJ ,455000
142,08753, TOMS RIVER ,NJ ,499000
143,08021, Lindenwold ,NJ ,84900
144,08736, Manasquan ,NJ ,829000
145,07436, OAKLAND ,NJ ,379000
146,07424, LITTLE FALLS ,NJ ,425000
147,08527, JACKSON ,NJ ,225000
148,07719, Wall Township ,NJ ,389900
149,07004, Fairfield ,NJ ,55000
150,37212, NASHVILLE ,TN ,499900
151,38488, Taft ,TN ,119900
152,37211, NASHVILLE ,TN ,525000
153,37343, Hixson ,TN ,299900
154,37650, Erwin ,TN ,192000
155,37409, CHATTANOOGA ,TN ,259000
156,37130, MURFREESBORO ,TN ,288000
157,37890, White Pine ,TN ,399900
158,37127, Murfreesboro ,TN ,324900
159,37876, Sevierville ,TN ,278500
160,37064, FRANKLIN ,TN ,1550000
161,37040, CLARKSVILLE ,TN ,203000
162,37363, OOLTEWAH ,TN ,6500000
163,37876, Sevierville ,TN ,225000
164,37214, NASHVILLE ,TN ,374900
165,37098, Lyles ,TN ,189000
166,37072, Goodlettsville ,TN ,150000
167,37217, NASHVILLE ,TN ,119000
